Template ,example,spec,Device,OS
"Don't forget to call Renee after lunch
 she said her brother's truck is finally free this weekend
 ask if Saturday pickup still works
 use her cell, not the office line
 917-513-0143
 mention the blue dresser is the one from the guest room
 bring cash for the extra dolly rental
 she gets off work around 2:30
 
 if no answer, try again closer to 6
 also ask whether her cousin Malik is still helping
 I owe her the soup containers back
 text first if I'm running late
 parking behind her building is easier than front street
 don't forget apartment code she sent
 save this under Renee moving help
 seriously call her today",https://drive.google.com/file/d/1pfRf4LsptQ70ZWPh6lJEA7C5EyuI1OwJ/view?usp=drive_link,1170x2532,iphone 13,ios 26.2
"before Thursday, get this handled
 call Leo about the used bookshelf - pending
 
 his number is 323-356-0188
 ask if the shelves come apart - pending
 confirm height fits hallway - pending
 send him porch pickup address - waiting
 check Venmo note from last night - done
 bring exact cash anyway - smarter
 
 ask whether his roommate can help load - pending
 don't leave before 7, he teaches till 6:30 - noted
 tape measure in tote bag - done
 text Mara to borrow bungee cords - pending
 move old lamp to trunk first - done
 wipe down back seat - not done
 grab blanket so wood doesn't scratch - pending
 
 if Leo flakes, message the lady from Marketplace backup - maybe
 don't forget building elevator reservation - pending
 screenshot the listing before it disappears - done
 gas up on the way home - pending
 leave tip for whoever helps carry it - yes
 stop overthinking and just set the pickup",https://drive.google.com/file/d/1Ei5GwmGWHw3DNHoXDnl-m0KQ8sNKF6G4/view?usp=drive_link,1170x2532,iphone 13,ios 26.2
"met with wedding vendor stuff today
 Date: Feb 12, 7:15 PM
 on the call: me, Tasha, and the florist
 main thing was whether they can switch the ceremony arch
 white roses cost more than expected
 Tasha said eucalyptus will look fuller in photos
 need updated quote by Friday
 ask for delivery window, not just ""afternoon""
 confirm who handles teardown
 I still need the contract resend
 
 florist contact: Tasha Greene
 best number 404-792-0176
 she answers texts faster than calls
 next step is locking colors before deposit goes out
 reminder: send her inspo pics from the board",https://drive.google.com/file/d/1aNngdyb9zTJ9UnKLlaWi4pPRbgH_Nd6w/view?usp=drive_link,1125x2436,iphone xs,ios 18.7.6
"reviewing stats before quiz
 1, sampling error
 - happens even when the method is fine
 - gets smaller w/ larger n, not magically gone
 
 2, confidence intervals
 - don't say ""95% the parameter changes""
 - it's about the method, not one interval
 
 3, professor's shortcut for margin of error
 - write formula once by hand tonight
 office hours guy to call if I blank again
 Caleb from class: 650-282-0127
 he said he can hop on a quick call after 8
 
 4, hypothesis test steps
 - null first
 - check assumptions
 - test stat, then p-value
 - say result in plain English
 bring old exam packet tomorrow
 stop skipping the calculator part
 coffee w/ Caleb before lab might actually help",https://drive.google.com/file/d/1Tz21Uc6pmfW_OQk48z_PFhfC16betXEt/view?usp=drive_link,1125x2436,iphone xs,ios 18.7.6
"thinking through side hustle ideas again
 pet sitting but only for senior dogs
 offer ""med reminder + short walk"" instead of full boarding
 neighborhood parents probably need after-school pickup lists too
 maybe bundle both and keep it super local
 ask Nora if she'd split flyers w/ me
 her number is 786-663-0104
 
 she already knows three apartment managers nearby
 could leave tear-off tabs at the laundromat
 maybe do first visit free if they live in the complex
 need a shorter name than ""calm care errands""
 maybe ""Good Pup Help"" lol maybe not
 track requests in one shared note, not scraps of paper
 ask people what hours matter most before setting prices
 start tiny so weekends don't get wrecked
 circle back after payday and print a few flyers",https://drive.google.com/file/d/17IQE-EPDPfOx2AhNDiGiUYUSCqX8T9bm/view?usp=drive_link,1290x2796,iphone 15 promax,ios 26.4.1
"Tuesday felt longer than it should've
 got through the whole shift somehow
 then the sink at home started making that sad gurgling noise again
 I almost ignored it
 glad I didn't, because the trap was basically done for
 Mrs. Delaney from downstairs gave me her handyman's number
 615-206-0192
 
 his name is Ron and apparently he actually shows up when he says he will
 that alone feels worth saving
 I wrote him at 6:40 and he called back before 7
 super rare
 he can stop by Thursday morning before my first client
 need to clear out the stuff under the sink tonight
 also remember cash, he said Zelle is hit or miss in his basement shop
 weird detail but fine
 
 I keep forgetting how much easier life gets when I ask neighbors things
 would've saved myself an hour of staring at YouTube plumbing videos
 also need to thank Mrs. Delaney properly
 maybe bring up those lemon bars this weekend
 anyway, saving this here so I don't lose Ron's number
 and so I stop pretending I can fix everything myself",https://drive.google.com/file/d/1QOu6zfts0CwK4DoUMusp9jNXurUPSBD5/view?usp=drive_link,1290x2796,iphone 15 promax,ios 26.4.1
"for the church fundraiser poster job
 1, to do
 - clean up sponsor logos
 - swap the date block to bigger type
 - send proof before noon Friday
 printer contact is Alicia Moreno
 714-160-0135
 she wants text only during shop hours
 2, stuff to ask her
 - can she do 11x17 on matte stock
 - same day pickup if files land by 10?
 - should I outline the weird font first
 3, don't forget
 invoice the committee after pickup
 backup PDF on drive, not just laptop",https://drive.google.com/file/d/1OmWhLbbuDXd_2RH0--qO-3jfCZX5Tk4D/view?usp=drive_link,1290x2796,iphone 15 promax,ios 26.4.1
"stuff I keep needing and then forgetting
 mailbox key code: 3-1-7 left right left
 Wi-Fi for the studio: ElmStreetGuest24
 building manager is Anita Flores
 cell 305-399-0118
 call before 8 PM unless it's a water thing
 locksmith from last winter: Ben Hart
 saved quote was $95 before parts
 coffee beans I actually liked: the Sumatra bag w/ green label
 eye doctor address is in the glove box, not here
 dry cleaner closes at 6 on Saturdays
 
 Aunt Cora's soup recipe card is tucked inside the red binder
 pharmacy closes for lunch at 1:30
 spare garage opener battery = CR2032
 upstairs neighbor's dog hates the vacuum
 parcel locker code changes every Monday
 return library book by the 18th
 ask Anita about the weird lobby light flicker
 do not lose this note again
 maybe print the really important parts",,,,
"for Saturday errands, keep it simple
 * eggs
 * scallions
 * whipping cream
 * cumin, because mine is basically dust
 * lemons for the chicken thing
 * birthday card for Aunt Denise
 * packing tape
 
 call the nursery before driving out
 ask if they still have the snake plant in ceramic pots
 949-835-0161
 the woman who answered last time was Mia
 if they're out, just get herbs instead
 don't buy another basket for no reason
 check pantry before grabbing pasta
 and remember the tote bags for once",,,,
,,,Samsung Galaxy S25,1080 × 2340
,,,Samsung Galaxy S25+,1440 × 3120
,,,Samsung Galaxy S25 Ultra,1440 × 3120
,,,Samsung Galaxy A56 5G,1080 × 2340
,,,Samsung Galaxy A36 5G,1080 × 2340
,,,Google Pixel 9,1080 × 2424
,,,Google Pixel 9a,1080 × 2424
,,,Google Pixel 9 Pro,1280 × 2856
,,,Google Pixel 9 Pro XL,1344 × 2992
,,,OnePlus 13,1440 × 3168
,,,Xiaomi 15 Ultra,1440 × 3200
,,,OPPO Find X8 Pro,1264 × 2780
,,,OPPO Reno13 Pro 5G,1272 × 2800
,,,vivo X200 Pro,1260 × 2800
,,,vivo V50,1080 × 2392
Android test note\nBuy milk after work\nCall Alex at 7 PM,,1080x2340,Samsung Galaxy S25,Android 15
